cntry.code,a1960,a1961,a1962,a1963,a1964,a1965,a1966,a1967,a1968,a1969,a1970,a1971,a1972,a1973,a1974,a1975,a1976,a1977,a1978,a1979,a1980,a1981,a1982,a1983,a1984,a1985,a1986,a1987,a1988,a1989,a1990,a1991,a1992,a1993,a1994,a1995,a1996,a1997,a1998,a1999,a2000,a2001,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37176775,26.22422856,27.19434758,27.31682217,27.84800097,28.77958487,27.42734119,24.75169418,24.39941141,23.35533511,24.22484818,23.80638575,24.03959079,23.96002586,23.66207912,23.94646292,23.78136708,24.80204599,24.98921591,26.29672924,25.57201507,24.76619686,23.99572199
BEN,,,,,,,,,,,,,,,11.10189064,10.14933463,11.21581482,13.61510053,10.50405423,12.64138757,4.172430599,-3.251559235,13.22154631,8.192516433,7.516613329,2.634223486,4.137374051,4.357862683,0.770432596,4.514204625,9.688373738,10.75654139,9.575206416,9.685313337,14.50610147,15.89711154,15.24389133,16.18785118,15.79857524,12.45653047,12.68387917,13.27892181,13.61328875,11.366391,13.25686578,12.19092972,12.46486564,14.04519041,12.64174075,11.45438675,11.38726242,12.12585154,13.53316774,16.28315595,18.60437868,14.09786458,17.95183741,18.25300624,20.34730099,22.22448134,21.5767231,22.84294641,28.58963038,30.15465625,
BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.853700031,6.313850631,10.16890261,9.604478155,11.49202764,15.8387096,17.4955996,18.06330139,14.39043325,13.38918106,11.85934407,13.45074892,14.77021288,17.10798054,16.84415958,20.55645546,17.04935172,15.03317757,15.26308356,
BGD,,,,,,,,,,,,,,,,,-0.840906616,10.03992261,5.704443543,7.076281516,8.332931314,21.14318205,23.52848225,23.09953972,16.29489054,21.52029364,22.77606457,22.62537719,22.19589584,22.34616801,23.02441186,22.56040592,21.99400383,20.90120214,22.41716006,22.14615449,23.13879408,24.3974787,25.83405473,26.65995682,27.79745769,28.42229043,30.74917643,30.1645967,31.57740067,32.35940726,35.34119094,36.31746258,37.3818778,38.97639392,38.78177393,38.05948979,40.59957945,39.74538771,37.7792322,36.73095598,37.2802992,35.28520315,35.4590395,36.35360242,37.18886621,36.05117423,33.94946441,34.90435986,34.36946163
BGR,,,,,,,,,,,,,,,,,,,,,29.67663138,36.06154289,34.92468893,33.76231779,35.32927703,31.84968385,32.12167163,30.33316635,32.67718692,28.8254942,14.65501668,17.61175446,12.90753431,6.215529809,8.507655594,25.56501802,9.956693827,21.35471948,25.19022994,16.11100394,13.4837989,15.72154072,17.98515341,16.80983174,16.97701534,16.75685344,14.94467914,9.630810866,14.78448817,19.62719634,21.18534012,22.4278687,22.27243981,23.89253936,23.18470587,22.04957225,23.67598753,25.02075046,23.41001446,24.04725055,20.684378,20.45812983,20.19081124,20.55108917,18.86549825
BHR,,,,,,,,,,,,,,,,,,,,,44.91792422,47.92227161,44.10147935,43.06513399,37.23269271,30.16729286,20.05362735,21.88658517,27.33594306,20.94680364,31.81860167,13.66038124,10.58467062,10.12914008,14.56949724,16.39268939,16.36490163,14.92062954,7.78405474,6.469048443,25.73325113,18.23996125,22.82781745,25.54748531,24.10547562,35.96634878,42.20862228,48.08899844,43.72616375,28.58593099,31.46561568,26.80430012,36.38297758,33.32741139,31.32636522,23.78107038,23.88250713,29.6481178,29.40759814,33.66045088,28.2418032,34.46448953,39.30955022,35.10834135,
BHS,,,,,,,,,,,,,,,,,,15.8345021,9.634790966,9.615729986,15.76424773,13.18611987,19.73008934,21.45660203,13.71319387,17.01641819,16.95854398,17.49078546,,19.80764206,19.03411244,14.518379,19.38887102,17.06241915,16.41485118,31.78619131,39.57787753,28.81958701,27.55245697,33.83285089,32.68491061,28.74391518,32.12153958,31.20227641,32.70077491,29.83435758,26.5970641,27.79379828,26.58745439,25.34632477,23.44835852,20.56865383,20.83821499,20.98495508,21.05033316,20.90239397,22.83450363,16.93730241,15.60782071,21.78036786,8.754310326,9.377051232,19.76151008,19.92133674,
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.61173948,8.880810057,6.492283395,3.679119003,12.90195296,7.843475247,10.84463734,13.28057584,11.45020361,9.479685023,8.649027413,7.990085289,6.644585462,8.657921383,9.552766931,11.74786426,13.48257534,15.5979,18.22392609,20.14239542,17.85749035,22.09538173,23.06219997,21.98332979,21.56743688
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.70144654,20.10931483,20.86302093,20.17050756,23.02845024,22.86669695,22.80227186,24.41214461,21.71755992,20.63571842,22.87737405,26.89887092,27.95562143,29.55825726,29.13438649,30.50207497,26.04015024,26.85527846,32.72210562,31.23650362,28.43710947,27.46929571,28.90847742,26.40345526,28.01703694,29.15847299,27.82237691,27.46949623,29.66290201,26.43368116,26.55678432,23.36572866
BLZ,,,,,,,,,,,,,,,,,,,,,,,,,60.6916859,58.60492604,61.95912151,62.51073417,60.31033136,60.70903523,59.75509458,57.89649975,31.41113106,32.51643754,27.85781432,28.09678286,25.68857613,18.9831177,16.87982249,18.20658454,22.73157027,16.18170111,14.38053273,12.24715138,13.70698658,16.79611686,22.55186988,21.88113883,20.28704829,21.1278355,18.5898777,21.32375445,19.69291791,17.78324548,17.95459596,20.25912135,20.81380741,18.21381407,15.38352864,15.92643291,22.69502622,22.43866302,19.11506593,21.96925171,
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.49410768,36.95064272,39.40631633,40.04899793,39.63328329,39.94720496,39.31975329,40.48283833,40.34162425,38.44677842,39.2761223,41.96552811,43.57744834,43.03866275,
BOL,,,,,,,,,,,,,,,,,16.33160773,14.67149781,14.86928539,14.62143886,14.18536927,10.53036548,8.624007812,12.75101405,12.15789834,10.1611711,3.770619408,4.770287394,6.792827162,8.613772468,9.54598823,8.884363691,8.480554717,7.798747524,10.19956584,11.16878664,12.06921196,12.58213849,12.82216146,10.65747072,11.01508839,11.25623261,12.29706715,14.48571969,17.04664635,19.88248341,26.58224479,28.63609751,28.98328097,22.89988725,24.8491395,26.31741757,25.69405643,23.89093966,20.78947784,14.21692538,15.42005142,16.05702893,16.12778626,14.19492888,12.48226446,13.84904572,13.93948186,12.02069073,
BRA,,,,,,,,,,,,,,,,20.62243127,19.16298454,19.763868,19.5403653,18.32136235,17.68957929,19.03980402,15.87780747,14.275817,17.48867873,20.18363203,17.90151585,22.66060326,25.65368371,35.80855575,18.95585718,18.73297946,20.19838358,20.25436122,19.11504036,14.43936271,14.04132102,13.71115857,13.89045294,12.73690145,13.99170313,13.59459738,15.40587227,16.41794181,18.85501886,18.11409553,18.40981631,19.34636031,19.22684666,16.38036502,17.80239935,18.60126643,17.67810852,18.15169083,16.13440499,14.52934718,13.42175302,13.57776969,12.70741995,12.25079583,14.79332919,17.15647976,15.82679788,14.97675856,14.47102679
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7876968,54.51622383,56.94785693,56.77064808,63.94145619,66.20859693,61.73920997,69.4925915,58.28798891,60.15154533,63.78580689,62.90408096,60.27941287,59.80763673,57.11826872,56.41157948,55.33642051,53.21330095,53.53172078,50.88599476,49.73434093,50.38063521,45.87134468,47.53900124
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.01264505,42.11195548,35.43988803,35.29072676,37.03494706,42.43636993,50.68589439,43.9906377,35.13793133,27.06928191,32.49786746,32.9057331,31.90639511,30.79018902,24.44243669,23.96451343,21.03913816,17.58946105,
BWA,,,,,,,,,,,,,,,,20.25509174,21.66924266,22.23537432,22.7835157,29.80395244,27.43314536,28.84807864,27.39581864,28.90694923,25.35303005,32.42886495,36.24708594,38.70283461,49.81905959,47.47929985,41.64781968,44.99639367,41.39850707,43.73922912,29.32231796,29.00824897,36.9132285,37.49151689,40.52701838,39.691031,39.44143735,43.39317717,31.4345614,35.67831753,34.27037293,40.4367157,41.34629674,44.51610407,37.08852845,27.42400043,32.0369221,38.61497238,36.87433628,29.92246645,36.44266373,31.3073044,30.12627879,30.79621542,26.82945432,31.5119489,24.18793264,32.05561177,36.68331598,35.5750514,
CAF,,,,,,,,,,,,,,,,,,7.829275752,6.922911561,7.518815991,1.605727166,8.13782706,0.970862077,7.382907531,7.063254382,11.47033026,8.630921643,8.334571166,10.56779283,11.95671597,10.87964052,9.541179724,9.840439183,12.52460798,15.0921291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,,20.41426676,21.65676046,21.8337431,23.02582583,24.04615353,24.49686094,22.64392361,22.05526057,22.02901645,21.21200183,21.28712369,21.31871934,23.39599958,24.28776643,21.24043106,21.88376312,20.59888891,20.29922159,22.05140429,22.1704765,22.49208796,19.90001973,20.05243336,20.91206703,20.53419195,18.96702054,20.16679235,20.96099338,20.13847562,17.75989076,15.14220788,14.05691765,14.88382795,16.98299018,18.94959481,19.46156758,20.19673402,19.77421428,21.09588678,23.77462807,22.63548905,21.7247372,21.94377715,23.66050407,24.45175414,24.61727708,24.40431956,24.24740931,18.52001347,19.3125301,20.85710941,20.91795123,21.5972984,22.14849389,19.56936363,19.14645457,19.84528099,19.58293123,20.26163399,19.461889,23.3033852,24.35491714,21.93725504,21.39228586
CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.52268759,21.04260306,21.31191439,21.49309699,19.80909514,20.13039224,19.99623813,19.16035701,18.45730523,18.03362812,19.03168361,19.58834199,20.34398531,20.62405121,19.65859854,19.29339719,20.24545838,20.12078765,21.24605953,21.98492754,22.65729941,21.86510833,21.94770351,22.07080406,22.59655406,22.54605146,22.39723766,20.97544971,22.25401956,20.53461586
CHE,,,,,,,,,,,,,,,,,,34.35448654,34.75012955,34.37308604,34.57301508,35.60320671,34.35673517,33.7433316,35.83788366,36.17451464,35.36758948,34.83295255,36.57550689,36.53133905,36.13419964,34.16269269,32.17444344,32.60975094,32.48042386,32.79706425,32.10385688,33.39080769,34.23724433,34.34713133,37.55525893,34.42705412,32.57728348,36.39187068,36.61781485,38.69129776,40.59324182,35.76243845,28.75065901,34.59957069,39.35441249,35.27082697,36.23098038,35.56364461,33.42075236,34.8318008,33.65321279,31.82193398,31.38751684,31.09476335,30.37698981,33.20273925,34.53735424,32.74986416,32.3690705
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
